Global_intensity,Sub_metering_3,Voltage,Global_reactive_power,Sub_metering_2,Global_active_power
1.0,2.0,258.0,0.040,0.5,0.244
48.5,49.0,202.0,1.940,48.0,11.820
2.5,5.0,257.0,0.100,1.5,0.610
45.0,47.0,205.0,1.800,45.0,10.980
3.0,6.0,256.0,0.120,2.0,0.732
42.5,45.0,208.0,1.700,42.0,10.370
3.5,7.0,255.0,0.140,2.5,0.855
40.0,43.0,210.0,1.600,40.0,9.760
4.0,8.0,254.0,0.160,3.0,0.976
38.0,41.0,212.0,1.520,38.0,9.270
4.5,9.0,253.0,0.180,3.5,1.098
35.5,39.0,215.0,1.420,35.0,8.660
5.0,10.0,252.0,0.200,4.0,1.220
33.0,37.0,218.0,1.320,33.0,8.050
5.5,11.0,251.0,0.220,4.5,1.340
30.5,35.0,221.0,1.220,30.0,7.440
6.0,12.0,250.0,0.240,5.0,1.463
28.0,33.0,224.0,1.120,28.0,6.830
6.5,13.0,249.0,0.260,5.5,1.585
25.5,31.0,227.0,1.020,25.0,6.220
7.0,14.0,248.0,0.280,6.0,1.708
23.0,29.0,230.0,0.920,23.0,5.610
7.5,15.0,247.0,0.300,6.5,1.830
20.5,27.0,233.0,0.820,20.0,5.000
