Global_intensity,Sub_metering_3,Voltage,Global_reactive_power,Sub_metering_2,Global_active_power
5.5,15.0,240.0,0.220,10.0,1.340
8.2,24.0,237.5,0.328,18.0,2.000
4.8,12.0,241.5,0.192,8.0,1.170
10.5,30.0,235.0,0.420,25.0,2.560
3.5,8.0,243.0,0.140,5.0,0.855
12.0,35.0,233.5,0.480,30.0,2.925
6.8,18.0,239.0,0.272,14.0,1.660
9.5,28.0,236.0,0.380,22.0,2.320
4.2,10.0,242.0,0.168,6.0,1.025
11.5,33.0,234.0,0.460,28.0,2.805
7.5,20.0,238.5,0.300,16.0,1.830
5.0,13.0,241.0,0.200,9.0,1.220
9.0,26.0,236.5,0.360,20.0,2.195
3.8,9.0,242.5,0.152,5.5,0.925
10.0,29.0,235.5,0.400,24.0,2.440
6.2,17.0,239.5,0.248,12.0,1.510
8.5,25.0,237.0,0.340,19.0,2.075
4.5,11.0,241.8,0.180,7.0,1.098
11.0,32.0,234.5,0.440,27.0,2.685
7.0,19.0,238.8,0.280,15.0,1.708
5.8,16.0,240.5,0.232,11.0,1.415
9.2,27.0,236.8,0.368,21.0,2.245
4.0,9.5,242.2,0.160,6.5,0.976
10.8,31.0,235.2,0.432,26.0,2.635
