Global_intensity,Sub_metering_3,Voltage,Global_reactive_power,Sub_metering_2,Global_active_power
15.5,38.0,245.0,0.620,30.0,3.775
15.2,37.0,245.2,0.608,29.0,3.700
14.9,36.0,245.4,0.596,28.0,3.625
14.6,35.0,245.6,0.584,27.0,3.550
14.3,34.0,245.8,0.572,26.0,3.475
14.0,33.0,246.0,0.560,25.0,3.400
13.7,32.0,246.2,0.548,24.0,3.325
13.4,31.0,246.4,0.536,23.0,3.250
13.1,30.0,246.6,0.524,22.0,3.175
12.8,29.0,246.8,0.512,21.0,3.100
12.5,28.0,247.0,0.500,20.0,3.025
12.2,27.0,247.2,0.488,19.0,2.950
11.9,26.0,247.4,0.476,18.0,2.875
11.6,25.0,247.6,0.464,17.0,2.800
11.3,24.0,247.8,0.452,16.0,2.725
11.0,23.0,248.0,0.440,15.0,2.650
10.7,22.0,248.2,0.428,14.0,2.575
10.4,21.0,248.4,0.416,13.0,2.500
10.1,20.0,248.6,0.404,12.0,2.425
9.8,19.0,248.8,0.392,11.0,2.350
9.5,18.0,249.0,0.380,10.0,2.275
9.2,17.0,249.2,0.368,9.0,2.200
8.9,16.0,249.4,0.356,8.0,2.125
8.6,15.0,249.6,0.344,7.0,2.050
