Global_intensity,Sub_metering_3,Voltage,Global_reactive_power,Sub_metering_2,Global_active_power
3.5,8.0,237.5,0.140,3.0,0.850
3.8,9.0,237.2,0.152,4.0,0.925
4.1,10.0,236.9,0.164,5.0,1.000
4.4,11.0,236.6,0.176,6.0,1.075
4.7,12.0,236.3,0.188,7.0,1.150
5.0,13.0,236.0,0.200,8.0,1.225
5.3,14.0,235.7,0.212,9.0,1.300
5.6,15.0,235.4,0.224,10.0,1.375
5.9,16.0,235.1,0.236,11.0,1.450
6.2,17.0,234.8,0.248,12.0,1.525
6.5,18.0,234.5,0.260,13.0,1.600
6.8,19.0,234.2,0.272,14.0,1.675
7.1,20.0,233.9,0.284,15.0,1.750
7.4,21.0,233.6,0.296,16.0,1.825
7.7,22.0,233.3,0.308,17.0,1.900
8.0,23.0,233.0,0.320,18.0,1.975
8.3,24.0,232.7,0.332,19.0,2.050
8.6,25.0,232.4,0.344,20.0,2.125
8.9,26.0,232.1,0.356,21.0,2.200
9.2,27.0,231.8,0.368,22.0,2.275
9.5,28.0,231.5,0.380,23.0,2.350
9.8,29.0,231.2,0.392,24.0,2.425
10.1,30.0,230.9,0.404,25.0,2.500
10.4,31.0,230.6,0.416,26.0,2.575
