Global_intensity,Sub_metering_3,Voltage,Global_reactive_power,Sub_metering_2,Global_active_power
18.5,45.0,242.5,0.850,38.0,4.500
19.2,46.0,241.8,0.880,39.0,4.650
18.8,44.0,242.2,0.865,37.5,4.550
19.5,47.0,241.5,0.895,40.0,4.720
20.0,48.0,241.0,0.920,41.0,4.850
19.7,46.5,241.3,0.905,39.5,4.780
20.3,49.0,240.8,0.935,42.0,4.920
20.8,50.0,240.5,0.960,43.0,5.050
20.5,48.5,240.7,0.945,41.5,4.980
21.0,49.5,240.3,0.970,42.5,5.100
20.7,48.0,240.6,0.955,41.0,5.020
21.3,50.0,240.2,0.985,43.5,5.180
21.5,49.0,240.0,0.995,42.0,5.220
21.2,48.5,240.4,0.980,41.5,5.150
20.9,47.5,240.8,0.965,40.5,5.080
20.6,46.0,241.1,0.950,39.0,5.010
20.3,45.5,241.5,0.935,38.5,4.940
20.0,45.0,241.8,0.920,38.0,4.870
19.7,44.0,242.0,0.905,37.0,4.800
19.4,43.5,242.3,0.890,36.5,4.730
19.1,43.0,242.6,0.875,36.0,4.660
18.8,42.0,242.8,0.860,35.0,4.590
18.5,41.5,243.0,0.845,34.5,4.520
18.2,41.0,243.2,0.830,34.0,4.450
