Global_intensity,Sub_metering_3,Voltage,Global_reactive_power,Sub_metering_2,Global_active_power
2.1,5.0,238.5,0.085,2.0,0.510
2.0,4.5,238.8,0.082,1.8,0.495
1.9,4.0,239.0,0.080,1.5,0.480
1.8,4.0,239.3,0.078,1.5,0.465
1.7,3.5,239.5,0.075,1.2,0.450
1.8,4.0,239.2,0.077,1.5,0.460
1.9,4.5,238.9,0.079,1.8,0.475
2.0,5.0,238.7,0.081,2.0,0.490
2.1,5.5,238.5,0.083,2.2,0.505
2.0,5.0,238.8,0.082,2.0,0.495
1.9,4.5,239.1,0.080,1.8,0.480
1.8,4.0,239.4,0.078,1.5,0.465
1.7,3.5,239.6,0.076,1.2,0.450
1.8,4.0,239.3,0.077,1.5,0.460
1.9,4.5,239.0,0.079,1.8,0.475
2.0,5.0,238.8,0.081,2.0,0.490
2.1,5.5,238.6,0.083,2.2,0.505
2.2,6.0,238.4,0.085,2.5,0.520
2.1,5.5,238.7,0.084,2.2,0.510
2.0,5.0,239.0,0.082,2.0,0.495
1.9,4.5,239.2,0.080,1.8,0.480
1.8,4.0,239.5,0.078,1.5,0.465
1.7,3.5,239.7,0.076,1.2,0.450
1.6,3.0,239.9,0.074,1.0,0.435
