Global_intensity,Sub_metering_3,Voltage,Global_reactive_power,Sub_metering_2,Global_active_power
1.5,3.0,240.5,0.060,1.0,0.366
1.4,2.8,240.7,0.056,0.9,0.341
1.6,3.2,240.3,0.064,1.1,0.390
1.5,3.0,240.5,0.060,1.0,0.366
1.3,2.5,240.9,0.052,0.8,0.317
1.7,3.5,240.1,0.068,1.2,0.415
1.6,3.2,240.3,0.064,1.1,0.390
1.4,2.8,240.7,0.056,0.9,0.341
1.8,3.8,239.9,0.072,1.3,0.439
1.5,3.0,240.5,0.060,1.0,0.366
1.3,2.5,240.9,0.052,0.8,0.317
1.6,3.2,240.3,0.064,1.1,0.390
1.7,3.5,240.1,0.068,1.2,0.415
1.4,2.8,240.7,0.056,0.9,0.341
1.5,3.0,240.5,0.060,1.0,0.366
1.6,3.2,240.3,0.064,1.1,0.390
1.8,3.8,239.9,0.072,1.3,0.439
1.5,3.0,240.5,0.060,1.0,0.366
1.4,2.8,240.7,0.056,0.9,0.341
1.3,2.5,240.9,0.052,0.8,0.317
1.6,3.2,240.3,0.064,1.1,0.390
1.7,3.5,240.1,0.068,1.2,0.415
1.5,3.0,240.5,0.060,1.0,0.366
1.4,2.8,240.7,0.056,0.9,0.341
