Global_intensity,Sub_metering_3,Voltage,Global_reactive_power,Sub_metering_2,Global_active_power
8.5,22.0,238.0,0.340,17.0,2.075
8.6,22.5,237.9,0.344,17.5,2.098
8.4,21.5,238.1,0.336,16.5,2.050
8.7,23.0,237.8,0.348,18.0,2.123
8.5,22.0,238.0,0.340,17.0,2.075
8.3,21.0,238.2,0.332,16.0,2.025
8.6,22.5,237.9,0.344,17.5,2.098
8.8,23.5,237.7,0.352,18.5,2.148
8.5,22.0,238.0,0.340,17.0,2.075
8.4,21.5,238.1,0.336,16.5,2.050
8.7,23.0,237.8,0.348,18.0,2.123
8.6,22.5,237.9,0.344,17.5,2.098
8.5,22.0,238.0,0.340,17.0,2.075
8.3,21.0,238.2,0.332,16.0,2.025
8.6,22.5,237.9,0.344,17.5,2.098
8.8,23.5,237.7,0.352,18.5,2.148
8.5,22.0,238.0,0.340,17.0,2.075
8.4,21.5,238.1,0.336,16.5,2.050
8.7,23.0,237.8,0.348,18.0,2.123
8.6,22.5,237.9,0.344,17.5,2.098
8.5,22.0,238.0,0.340,17.0,2.075
8.3,21.0,238.2,0.332,16.0,2.025
8.6,22.5,237.9,0.344,17.5,2.098
8.5,22.0,238.0,0.340,17.0,2.075
