Global_intensity,Sub_metering_3,Voltage,Global_reactive_power,Sub_metering_2,Global_active_power
2.0,5.0,242.0,0.080,2.0,0.488
2.2,5.5,241.7,0.088,2.2,0.537
2.5,6.0,241.4,0.100,2.5,0.610
3.0,7.0,241.0,0.120,3.0,0.732
3.5,8.0,240.6,0.140,4.0,0.855
7.5,20.0,237.0,0.300,15.0,1.830
11.0,30.0,234.0,0.440,25.0,2.685
9.5,26.0,235.5,0.380,21.0,2.315
8.0,22.0,237.0,0.320,17.0,1.950
6.5,17.0,238.5,0.260,12.0,1.585
5.5,14.0,239.5,0.220,9.0,1.340
5.0,13.0,240.0,0.200,8.0,1.220
4.5,11.0,240.5,0.180,7.0,1.098
4.8,12.0,240.2,0.192,7.5,1.170
11.5,32.0,233.5,0.460,27.0,2.805
13.0,36.0,232.0,0.520,31.0,3.170
12.0,34.0,232.8,0.480,29.0,2.927
10.5,29.0,234.2,0.420,24.0,2.560
9.0,25.0,235.8,0.360,20.0,2.195
7.5,20.0,237.2,0.300,15.0,1.830
6.0,16.0,238.8,0.240,11.0,1.463
4.5,11.0,240.5,0.180,7.0,1.098
3.5,8.0,241.3,0.140,4.0,0.855
2.5,6.0,242.0,0.100,2.5,0.610
